filename,x,y,w,h,label
synth_BJJ PR 1.1_0.jpg,0,0,1005,1600,pr_card
synth_BJJ PR 1.1_1.jpg,0,0,1005,1600,pr_card
synth_BJJ PR 1.1_2.jpg,0,0,1005,1600,pr_card
synth_BJJ PR 1.1_3.jpg,0,0,1005,1600,pr_card
synth_BJJ PR 1.1_4.jpg,0,0,1005,1600,pr_card
synth_BJJ PR 1.1_5.jpg,0,0,1005,1600,pr_card
synth_BJJ PR 1.1_6.jpg,0,0,1005,1600,pr_card
synth_BJJ PR 1.1_7.jpg,0,0,1005,1600,pr_card
synth_BJJ PR 1.1_8.jpg,0,0,1005,1600,pr_card
synth_BJJ PR 1.1_9.jpg,0,0,1005,1600,pr_card
synth_BJJ PR 1.1_10.jpg,0,0,1005,1600,pr_card
synth_BJJ PR 1.1_11.jpg,0,0,1005,1600,pr_card
synth_BJJ PR 1.1_12.jpg,0,0,1005,1600,pr_card
synth_BJJ PR 1.1_13.jpg,0,0,1005,1600,pr_card
synth_BJJ PR 1.1_14.jpg,0,0,1005,1600,pr_card
synth_BJJ PR 1.1_15.jpg,0,0,1005,1600,pr_card
synth_BJJ PR 1.1_16.jpg,0,0,1005,1600,pr_card
synth_BJJ PR 1.1_17.jpg,0,0,1005,1600,pr_card
synth_BJJ PR 1.1_18.jpg,0,0,1005,1600,pr_card
synth_BJJ PR 1.1_19.jpg,0,0,1005,1600,pr_card
synth_BJJ PR 2.1_0.jpg,0,0,1536,2048,pr_card
synth_BJJ PR 2.1_1.jpg,0,0,1536,2048,pr_card
synth_BJJ PR 2.1_2.jpg,0,0,1536,2048,pr_card
synth_BJJ PR 2.1_3.jpg,0,0,1536,2048,pr_card
synth_BJJ PR 2.1_4.jpg,0,0,1536,2048,pr_card
synth_BJJ PR 2.1_5.jpg,0,0,1536,2048,pr_card
synth_BJJ PR 2.1_6.jpg,0,0,1536,2048,pr_card
synth_BJJ PR 2.1_7.jpg,0,0,1536,2048,pr_card
synth_BJJ PR 2.1_8.jpg,0,0,1536,2048,pr_card
synth_BJJ PR 2.1_9.jpg,0,0,1536,2048,pr_card
synth_BJJ PR 2.1_10.jpg,0,0,1536,2048,pr_card
synth_BJJ PR 2.1_11.jpg,0,0,1536,2048,pr_card
synth_BJJ PR 2.1_12.jpg,0,0,1536,2048,pr_card
synth_BJJ PR 2.1_13.jpg,0,0,1536,2048,pr_card
synth_BJJ PR 2.1_14.jpg,0,0,1536,2048,pr_card
synth_BJJ PR 2.1_15.jpg,0,0,1536,2048,pr_card
synth_BJJ PR 2.1_16.jpg,0,0,1536,2048,pr_card
synth_BJJ PR 2.1_17.jpg,0,0,1536,2048,pr_card
synth_BJJ PR 2.1_18.jpg,0,0,1536,2048,pr_card
synth_BJJ PR 2.1_19.jpg,0,0,1536,2048,pr_card
synth_PR letter 2_0.jpg,0,0,1218,2022,pr_card
synth_PR letter 2_1.jpg,0,0,1218,2022,pr_card
